"vesselCode","opeID","Gear","Subarea","Target","fishopSetStartDate","fishopSetStartLatitude","fishopSetStartLongitude","StartDepth","fishopSetEndDate","fishopSetEndLatitude","fishopSetEndLongitude","EndDepth","fishopHaulStartDate","fishopHaulEndDate","HooksSet","HooksLost","speciesFAOCode","speciesScientificName","speciesEnglishName","Catch_Kg","src","datasetID","Soaktime","Season","MU","Weigth"
10668,"H21111","Set longlines","3b",NA,2019-02-28,-44.9433333333333,44.8016666666667,1263,NA,-44.8866666666667,44.735,1318,NA,NA,6700,NA,"TOP","Dissostichus eleginoides","Patagonian toothfish",404,"HBH",106,0,2019,"DC",NA
10668,"H21112","Set longlines","3b",NA,2019-02-28,-44.9766666666667,44.8716666666667,1309,NA,-44.9433333333333,44.82,1277,NA,NA,5739,NA,"TOP","Dissostichus eleginoides","Patagonian toothfish",426,"HBH",106,0,2019,"DC",NA
10668,"H21113","Set longlines","3b",NA,2019-03-01,-44.9883333333333,44.805,1281,NA,-44.9,44.695,1432,NA,NA,10872,NA,"TOP","Dissostichus eleginoides","Patagonian toothfish",844,"HBH",106,0,2019,"DC",NA
10668,"H21114","Set longlines","3b",NA,2019-02-27,-44.9833333333333,44.9483333333333,1366,NA,-44.8783333333333,44.7816666666667,1227,NA,NA,14381,NA,"TOP","Dissostichus eleginoides","Patagonian toothfish",1037,"HBH",106,0,2019,"DC",NA
10668,"H21115","Set longlines","3b",NA,2019-03-02,-44.9883333333333,45.0016666666667,1286,NA,-44.8866666666667,44.8733333333333,1436,NA,NA,12672,NA,"TOP","Dissostichus eleginoides","Patagonian toothfish",977,"HBH",106,0,2019,"DC",NA
10668,"H21116","Set longlines","3b",NA,2019-03-01,-44.9766666666667,45.0483333333333,1486,NA,-44.895,44.9633333333333,1490,NA,NA,9064,NA,"TOP","Dissostichus eleginoides","Patagonian toothfish",719,"HBH",106,0,2019,"DC",NA
10668,"H21117","Set longlines","3b",NA,2019-03-03,-44.8833333333333,45.7,1643,NA,-44.7866666666667,45.55,1640,NA,NA,13196,NA,"TOP","Dissostichus eleginoides","Patagonian toothfish",1179,"HBH",106,0,2019,"DC",NA
10668,"H21118","Set longlines","3b",NA,2019-03-05,-44.745,45.785,1630,NA,-44.6533333333333,45.6466666666667,1630,NA,NA,13535,NA,"TOP","Dissostichus eleginoides","Patagonian toothfish",1164,"HBH",106,0,2019,"DC",NA
10668,"H21119","Set longlines","3b",NA,2019-03-04,-44.8166666666667,45.7666666666667,1655,NA,-44.7183333333333,45.63,1630,NA,NA,13635,NA,"TOP","Dissostichus eleginoides","Patagonian toothfish",1264,"HBH",106,0,2019,"DC",NA
10668,"H21120","Set longlines","3b",NA,2019-03-03,-44.77,45.5466666666667,1692,NA,-44.6666666666667,45.395,1660,NA,NA,13507,NA,"TOP","Dissostichus eleginoides","Patagonian toothfish",1615,"HBH",106,0,2019,"DC",NA
