"tagrelID","obs_foID","opeID","vesselCode","Subarea","Lat_release","Lon_release","Dat_release","tagFate","tagrel1Type","tagrel1Colour","tagrel1Number","tagrel1Wording","tagrel2Type","tagrel2Colour","tagrel2Number","tagrel2Wording","Length_release","Weight_release","Sex_release","src","datasetID","Season","MU","tag_code_1","tag_code_2","Est_weigth_release"
182,"O10887","H52925",10668,"3b",-44.8183,45.7266,2021-01-31 13:00:00,"Released","T-Bar tags","White","A605369","AUSTRALIA","T-Bar tags","White","A605370","AUSTRALIA",68,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605369+AUSTRALIA","T-Bar tags+White+A605370+AUSTRALIA",2.90634991977168
183,"O10887","H52925",10668,"3b",-44.8183,45.7266,2021-01-31 13:00:00,"Released","T-Bar tags","White","A605369","AUSTRALIA","T-Bar tags","White","A605370","AUSTRALIA",68,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605369+AUSTRALIA","T-Bar tags+White+A605370+AUSTRALIA",2.90634991977168
184,"O10887","H52925",10668,"3b",-44.8183,45.7266,2021-01-31 13:00:00,"Released","T-Bar tags","White","A605369","AUSTRALIA","T-Bar tags","White","A605370","AUSTRALIA",68,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605369+AUSTRALIA","T-Bar tags+White+A605370+AUSTRALIA",2.90634991977168
185,"O10889","H52927",10668,"3b",-44.6916,45.5483,2021-01-31 15:34:00,"Released","T-Bar tags","White","A605375","AUSTRALIA","T-Bar tags","White","A605376","AUSTRALIA",56,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605375+AUSTRALIA","T-Bar tags+White+A605376+AUSTRALIA",1.50455706655771
186,"O10889","H52927",10668,"3b",-44.6916,45.5483,2021-01-31 15:34:00,"Released","T-Bar tags","White","A605375","AUSTRALIA","T-Bar tags","White","A605376","AUSTRALIA",56,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605375+AUSTRALIA","T-Bar tags+White+A605376+AUSTRALIA",1.50455706655771
187,"O10891","H52929",10668,"3b",-44.66,45.27,2021-01-31 17:32:00,"Released","T-Bar tags","White","A605379","AUSTRALIA","T-Bar tags","White","A605380","AUSTRALIA",77,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605379+AUSTRALIA","T-Bar tags+White+A605380+AUSTRALIA",4.43001076317966
188,"O10891","H52929",10668,"3b",-44.66,45.27,2021-01-31 17:32:00,"Released","T-Bar tags","White","A605379","AUSTRALIA","T-Bar tags","White","A605380","AUSTRALIA",77,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605379+AUSTRALIA","T-Bar tags+White+A605380+AUSTRALIA",4.43001076317966
189,"O10891","H52929",10668,"3b",-44.66,45.27,2021-01-31 17:32:00,"Released","T-Bar tags","White","A605379","AUSTRALIA","T-Bar tags","White","A605380","AUSTRALIA",77,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605379+AUSTRALIA","T-Bar tags+White+A605380+AUSTRALIA",4.43001076317966
190,"O10892","H52930",10668,"3b",-44.7316,45.3716,2021-01-31 18:10:00,"Released","T-Bar tags","White","A605385","AUSTRALIA","T-Bar tags","White","A605386","AUSTRALIA",68,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605385+AUSTRALIA","T-Bar tags+White+A605386+AUSTRALIA",2.90634991977168
191,"O10892","H52930",10668,"3b",-44.7316,45.3716,2021-01-31 18:10:00,"Released","T-Bar tags","White","A605385","AUSTRALIA","T-Bar tags","White","A605386","AUSTRALIA",68,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605385+AUSTRALIA","T-Bar tags+White+A605386+AUSTRALIA",2.90634991977168
197,"O10898","H52936",10668,"3b",-44.5783,45.505,2021-02-02 08:35:00,"Released","T-Bar tags","White","A605399","AUSTRALIA","T-Bar tags","White","A605400","AUSTRALIA",86,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605399+AUSTRALIA","T-Bar tags+White+A605400+AUSTRALIA",6.44470481664519
198,"O10898","H52936",10668,"3b",-44.5783,45.505,2021-02-02 08:35:00,"Released","T-Bar tags","White","A605399","AUSTRALIA","T-Bar tags","White","A605400","AUSTRALIA",86,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605399+AUSTRALIA","T-Bar tags+White+A605400+AUSTRALIA",6.44470481664519
199,"O10900","H52938",10668,"3b",-44.7066,45.6733,2021-02-04 05:20:00,"Released","T-Bar tags","White","A605403","AUSTRALIA","T-Bar tags","White","A605404","AUSTRALIA",82,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605403+AUSTRALIA","T-Bar tags+White+A605404+AUSTRALIA",5.48352478423286
200,"O10900","H52938",10668,"3b",-44.7066,45.6733,2021-02-04 05:20:00,"Released","T-Bar tags","White","A605403","AUSTRALIA","T-Bar tags","White","A605404","AUSTRALIA",82,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605403+AUSTRALIA","T-Bar tags+White+A605404+AUSTRALIA",5.48352478423286
201,"O10900","H52938",10668,"3b",-44.7066,45.6733,2021-02-04 05:20:00,"Released","T-Bar tags","White","A605403","AUSTRALIA","T-Bar tags","White","A605404","AUSTRALIA",82,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605403+AUSTRALIA","T-Bar tags+White+A605404+AUSTRALIA",5.48352478423286
205,"O10903","H52941",10668,"3b",-44.88,43.9783,2021-02-04 18:20:00,"Released","T-Bar tags","White","A605415","AUSTRALIA","T-Bar tags","White","A605417","AUSTRALIA",45,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605415+AUSTRALIA","T-Bar tags+White+A605417+AUSTRALIA",0.716702117148241
206,"O10903","H52941",10668,"3b",-44.88,43.9783,2021-02-04 18:20:00,"Released","T-Bar tags","White","A605415","AUSTRALIA","T-Bar tags","White","A605417","AUSTRALIA",45,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605415+AUSTRALIA","T-Bar tags+White+A605417+AUSTRALIA",0.716702117148241
207,"O10903","H52941",10668,"3b",-44.88,43.9783,2021-02-04 18:20:00,"Released","T-Bar tags","White","A605415","AUSTRALIA","T-Bar tags","White","A605417","AUSTRALIA",45,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605415+AUSTRALIA","T-Bar tags+White+A605417+AUSTRALIA",0.716702117148241
208,"O10903","H52941",10668,"3b",-44.88,43.9783,2021-02-04 18:20:00,"Released","T-Bar tags","White","A605415","AUSTRALIA","T-Bar tags","White","A605417","AUSTRALIA",45,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605415+AUSTRALIA","T-Bar tags+White+A605417+AUSTRALIA",0.716702117148241
209,"O10903","H52941",10668,"3b",-44.88,43.9783,2021-02-04 18:20:00,"Released","T-Bar tags","White","A605415","AUSTRALIA","T-Bar tags","White","A605417","AUSTRALIA",45,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605415+AUSTRALIA","T-Bar tags+White+A605417+AUSTRALIA",0.716702117148241
