"RB","Species","Season","Est","CI_lower","CI_upper","N_recaptures","RB_N_Hauls","Method","RB_N_Hooks","Ref_area"
"DC","TOP",2022,2866.09660151092,1220.63964198812,3197.29715594015,1,172,"Chapman",NA,NA
"DC","TOP",2019,1251.58706765945,993.475740122839,1677.54023895691,NA,77,"CPUE-by-seabed area",768229,"HIMI"
"DC","TOP",2020,1307.54037186293,1055.06233552896,1709.90930049383,NA,205,"CPUE-by-seabed area",376345,"HIMI"
"DC","TOP",2021,1537.85074381949,1234.72461754063,1972.86086277966,NA,372,"CPUE-by-seabed area",477803,"HIMI"
"DC","TOP",2022,1699.08930323259,1392.50981829958,2171.90854066809,NA,467,"CPUE-by-seabed area",491265,"HIMI"
"SIR","TOP",2019,2046.40217813732,946.227210098774,3384.87878551811,NA,11,"CPUE-by-seabed area",65627,"HIMI"
"SIR","TOP",2020,3552.56616351686,2666.63293158918,4825.5250995357,NA,57,"CPUE-by-seabed area",342202,"HIMI"
"SIR","TOP",2022,3511.09938156562,2683.95215461668,4768.31688802291,NA,120,"CPUE-by-seabed area",490491,"HIMI"
"DC","TOP",2019,1544.86296864837,1275.39071628581,1916.12858939684,NA,77,"CPUE-by-seabed area",768229,"CI"
"DC","TOP",2020,1613.92743077894,1379.42314390681,1928.80519050763,NA,205,"CPUE-by-seabed area",376345,"CI"
"DC","TOP",2021,1898.20486870156,1617.28610738578,2214.72320027675,NA,372,"CPUE-by-seabed area",477803,"CI"
"DC","TOP",2022,2097.22536515118,1835.7171005819,2428.88113951265,NA,467,"CPUE-by-seabed area",491265,"CI"
"SIR","TOP",2019,2525.9217082498,1188.8194359274,3943.90548613312,NA,11,"CPUE-by-seabed area",65627,"CI"
"SIR","TOP",2020,4385.01487551622,3416.06944381228,5610.34425393701,NA,57,"CPUE-by-seabed area",342202,"CI"
"SIR","TOP",2022,4333.83146405346,3489.46558349801,5440.13474845752,NA,120,"CPUE-by-seabed area",490491,"CI"
