"RB","Species","Season","Est","CI_lower","CI_upper","N_recaptures","RB_N_Hauls","Method","RB_N_Hooks","Ref_area"
"DC","TOP",2022,2866.09660151092,1207.40785655523,3203.9250244828,1,172,"Chapman",NA,NA
"DC","TOP",2018,1271906.13072983,1049122.5078567,1626402.70572711,NA,205,"CPUE-by-seabed area",2009517,"HIMI"
"DC","TOP",2019,1268116.9801472,1035162.57643172,1597667.47803526,NA,282,"CPUE-by-seabed area",768229,"HIMI"
"DC","TOP",2020,1191659.92734774,967284.583776439,1501062.47194852,NA,410,"CPUE-by-seabed area",376345,"HIMI"
"DC","TOP",2021,1201199.01087104,980941.458317328,1532780.37190979,NA,372,"CPUE-by-seabed area",477803,"HIMI"
"DC","TOP",2022,1293980.42450215,1050794.82457744,1651843.89881784,NA,467,"CPUE-by-seabed area",491265,"HIMI"
"SIR","TOP",2018,591767.380076365,465534.024948526,891660.479876266,NA,69,"CPUE-by-seabed area",565120,"HIMI"
"SIR","TOP",2019,640126.75619806,504724.812046758,983343.13717539,NA,80,"CPUE-by-seabed area",65627,"HIMI"
"SIR","TOP",2020,1280238.9548034,843576.715655889,1753010.60751363,NA,126,"CPUE-by-seabed area",342202,"HIMI"
"SIR","TOP",2022,2682905.87592485,2042652.75151632,3571013.90833388,NA,120,"CPUE-by-seabed area",490491,"HIMI"
