"RB","Species","Season","Ref_area","RefArea_seabed_area","RB_seabedarea","RB_N_Hauls","RB_N_Hooks","Est","CI_lower","CI_upper","RefArea_biomass","RefArea_CPUE","RB_CPUE","sd"
"DC","TOP",2018,"HIMI",134088.22,21535.62,205,2009517,1778.09135012736,1429.17980847133,2233.38841082333,31111,0.21,0.0747295968534907,207.318962328499
"DC","TOP",2019,"HIMI",134088.22,21535.62,282,768229,1642.89895169855,1341.1454421809,2083.20715689761,31111,0.21,0.0690477327403123,190.483055642006
"DC","TOP",2020,"HIMI",134088.22,21535.62,410,376345,1575.61165818409,1280.10475205321,1999.06046091549,31111,0.21,0.0662197833678926,184.620274624954
"DC","TOP",2021,"HIMI",134088.22,21535.62,372,477803,1537.85074381949,1235.22418260891,1980.81847268794,31111,0.21,0.0646327682198327,192.49613148839
"DC","TOP",2022,"HIMI",134088.22,21535.62,467,491265,1699.08930323259,1396.23245194868,2169.5344501805,31111,0.21,0.0714093,198.670870693278
"SIR","TOP",2018,"HIMI",134088.22,14939.11,69,565120,767.555033730805,574.0027691545,1124.48196046574,31111,0.21,0.0465029761904762,144.038032621074
"SIR","TOP",2019,"HIMI",134088.22,14939.11,80,65627,908.239343024397,648.745834082218,1222.88354962255,31111,0.21,0.055026455026455,150.195018072074
"SIR","TOP",2020,"HIMI",134088.22,14939.11,126,342202,1585.47894662481,1043.49695274811,2307.46183571702,31111,0.21,0.0960575938731361,315.495156764059
"SIR","TOP",2022,"HIMI",134088.22,14939.11,120,490491,3511.09938156562,2694.0007382446,4747.86731104337,31111,0.21,0.21272294984467,521.486962526041
"DC","TOP",2018,"CI",46091.59,21535.62,205,2009517,2194.73942537824,1872.22710003072,2510.84721275988,11000,0.175,0.0747295968534907,162.951400834038
"DC","TOP",2019,"CI",46091.59,21535.62,282,768229,2027.86830999831,1752.11791588318,2329.72378995689,11000,0.175,0.0690477327403123,145.231623357313
"DC","TOP",2020,"CI",46091.59,21535.62,410,376345,1944.81404178392,1669.85418836977,2216.30401230371,11000,0.175,0.0662197833678926,140.797242401303
"DC","TOP",2021,"CI",46091.59,21535.62,372,477803,1898.20486870156,1607.47099865497,2216.38385729387,11000,0.175,0.0646327682198327,156.938945573108
"DC","TOP",2022,"CI",46091.59,21535.62,467,491265,2097.22536515118,1841.19460387872,2430.95783947382,11000,0.175,0.0714093,151.280704877022
"SIR","TOP",2018,"CI",46091.59,14939.11,69,565120,947.410994129106,732.065027740166,1301.05047843247,11000,0.175,0.0465029761904762,150.487689680354
"SIR","TOP",2019,"CI",46091.59,14939.11,80,65627,1121.06090256415,834.574869751174,1393.33032868858,11000,0.175,0.055026455026455,153.530879779015
"SIR","TOP",2020,"CI",46091.59,14939.11,126,342202,1956.99346493947,1316.83924290145,2729.16805358351,11000,0.175,0.0960575938731361,342.558346556367
"SIR","TOP",2022,"CI",46091.59,14939.11,120,490491,4333.83146405346,3472.89178250243,5459.31755797477,11000,0.175,0.21272294984467,496.581073832509
